arch,name,features,unsafe,stability,file,doc,signature,instruction
x86_64,_mm_cmp_ps,avx,False,stable,avx.rs,Compares packed single-precision (32-bit) floating-point elements in `a` and `b` based on the comparison operand specified by `IMM5`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_cmp_ps),"fn _mm_cmp_ps<IMM5: i32>(a: __m128, b: __m128) -> __m128",vcmpeqps
x86_64,_mm256_cmp_ps,avx,False,stable,avx.rs,Compares packed single-precision (32-bit) floating-point elements in `a` and `b` based on the comparison operand specified by `IMM5`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cmp_ps),"fn _mm256_cmp_ps<IMM5: i32>(a: __m256, b: __m256) -> __m256",vcmpeqps
x86_64,_mm_cmp_sd,avx,False,stable,avx.rs,"Compares the lower double-precision (64-bit) floating-point element in `a` and `b` based on the comparison operand specified by `IMM5`, store the result in the lower element of returned vector, and copies the upper element from `a` to the upper element of returned vector.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_cmp_sd)","fn _mm_cmp_sd<IMM5: i32>(a: __m128d, b: __m128d) -> __m128d",vcmpeqsd
x86_64,_mm_cmp_ss,avx,False,stable,avx.rs,"Compares the lower single-precision (32-bit) floating-point element in `a` and `b` based on the comparison operand specified by `IMM5`, store the result in the lower element of returned vector, and copies the upper 3 packed elements from `a` to the upper elements of returned vector.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_cmp_ss)","fn _mm_cmp_ss<IMM5: i32>(a: __m128, b: __m128) -> __m128",vcmpeqss
x86_64,_mm256_cvtepi32_pd,avx,False,stable,avx.rs,Converts packed 32-bit integers in `a` to packed double-precision (64-bit) floating-point elements.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtepi32_pd),fn _mm256_cvtepi32_pd(a: __m128i) -> __m256d,vcvtdq2pd
x86_64,_mm256_cvtepi32_ps,avx,False,stable,avx.rs,Converts packed 32-bit integers in `a` to packed single-precision (32-bit) floating-point elements.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtepi32_ps),fn _mm256_cvtepi32_ps(a: __m256i) -> __m256,vcvtdq2ps
x86_64,_mm256_cvtpd_ps,avx,False,stable,avx.rs,Converts packed double-precision (64-bit) floating-point elements in `a` to packed single-precision (32-bit) floating-point elements.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtpd_ps),fn _mm256_cvtpd_ps(a: __m256d) -> __m128,vcvtpd2ps
x86_64,_mm256_cvtps_epi32,avx,False,stable,avx.rs,Converts packed single-precision (32-bit) floating-point elements in `a` to packed 32-bit integers.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtps_epi32),fn _mm256_cvtps_epi32(a: __m256) -> __m256i,vcvtps2dq
x86_64,_mm256_cvtps_pd,avx,False,stable,avx.rs,Converts packed single-precision (32-bit) floating-point elements in `a` to packed double-precision (64-bit) floating-point elements.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtps_pd),fn _mm256_cvtps_pd(a: __m128) -> __m256d,vcvtps2pd
x86_64,_mm256_cvtsd_f64,avx,False,stable,avx.rs,Returns the first element of the input vector of `[4 x double]`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtsd_f64),fn _mm256_cvtsd_f64(a: __m256d) -> f64,movsd
x86_64,_mm256_cvttpd_epi32,avx,False,stable,avx.rs,Converts packed double-precision (64-bit) floating-point elements in `a` to packed 32-bit integers with truncation.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvttpd_epi32),fn _mm256_cvttpd_epi32(a: __m256d) -> __m128i,vcvttpd2dq
x86_64,_mm256_cvtpd_epi32,avx,False,stable,avx.rs,Converts packed double-precision (64-bit) floating-point elements in `a` to packed 32-bit integers.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtpd_epi32),fn _mm256_cvtpd_epi32(a: __m256d) -> __m128i,vcvtpd2dq
x86_64,_mm256_cvttps_epi32,avx,False,stable,avx.rs,Converts packed single-precision (32-bit) floating-point elements in `a` to packed 32-bit integers with truncation.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvttps_epi32),fn _mm256_cvttps_epi32(a: __m256) -> __m256i,vcvttps2dq
x86_64,_mm256_extractf128_ps,avx,False,stable,avx.rs,"Extracts 128 bits (composed of 4 packed single-precision (32-bit) floating-point elements) from `a`, selected with `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_extractf128_ps)",fn _mm256_extractf128_ps<IMM1: i32>(a: __m256) -> __m128,vextractf128
x86_64,_mm256_extractf128_pd,avx,False,stable,avx.rs,"Extracts 128 bits (composed of 2 packed double-precision (64-bit) floating-point elements) from `a`, selected with `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_extractf128_pd)",fn _mm256_extractf128_pd<IMM1: i32>(a: __m256d) -> __m128d,vextractf128
x86_64,_mm256_extractf128_si256,avx,False,stable,avx.rs,"Extracts 128 bits (composed of integer data) from `a`, selected with `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_extractf128_si256)",fn _mm256_extractf128_si256<IMM1: i32>(a: __m256i) -> __m128i,vextractf128
